group,metric,label,cc_iso3c,raw_value,value,imputed,radar_x,radar_y,data_label,hover_label
0_indicators,ind_crm,Crisis and risk management,IRL,0.7303915484605573,0.7303915484605573,,0.5164648168378029,0.516464816837803,0.73,"IRL - Crisis and
risk management:
0.73"
0_indicators,ind_crm,Crisis and risk management,ISL,0.6280919834980245,0.6280919834980245,,0.4441281007403622,0.44412810074036235,0.63,"ISL - Crisis and
risk management:
0.63"
0_indicators,ind_crm,Crisis and risk management,ISR,0.5662730484661003,0.5662730484661003,,0.40041551257355795,0.40041551257355806,0.57,"ISR - Crisis and
risk management:
0.57"
0_indicators,ind_crm,Crisis and risk management,ITA,0.6954630220224489,0.6954630220224489,,0.4917666189365628,0.491766618936563,0.70,"ITA - Crisis and
risk management:
0.70"
0_indicators,ind_crm,Crisis and risk management,InCiSE,0.641518651420278,0.641518651420278,,0.4536221886769275,0.45362218867692766,0.64,"InCiSE - Crisis and
risk management:
0.64"
0_indicators,ind_crm,Crisis and risk management,JPN,0.6478972446971039,0.6478972446971039,,0.458132535237402,0.45813253523740216,0.65,"JPN - Crisis and
risk management:
0.65"
0_indicators,ind_crm,Crisis and risk management,KOR,0.7969753485950364,0.7969753485950364,,0.5635466734300628,0.5635466734300629,0.80,"KOR - Crisis and
risk management:
0.80"
0_indicators,ind_crm,Crisis and risk management,LTU,0.593204890786959,0.593204890786959,,0.41945920090848404,0.41945920090848415,0.59,"LTU - Crisis and
risk management:
0.59"
0_indicators,ind_crm,Crisis and risk management,LVA,0.4624818747163992,0.4624818747163992,,0.3270240697878331,0.3270240697878332,0.46,"LVA - Crisis and
risk management:
0.46"
0_indicators,ind_crm,Crisis and risk management,MEX,0.6009944071494594,0.6009944071494594,,0.4249672207505716,0.42496722075057175,0.60,"MEX - Crisis and
risk management:
0.60"
0_indicators,ind_crm,Crisis and risk management,NLD,1,1,,0.7071067811865475,0.7071067811865477,1.00,"NLD - Crisis and
risk management:
1.00"
0_indicators,ind_crm,Crisis and risk management,NOR,0.6793039153993559,0.6793039153993559,,0.4803404050654573,0.48034040506545744,0.68,"NOR - Crisis and
risk management:
0.68"
0_indicators,ind_crm,Crisis and risk management,NZL,0.7259167184839702,0.7259167184839702,,0.5133006342167012,0.5133006342167015,0.73,"NZL - Crisis and
risk management:
0.73"
0_indicators,ind_crm,Crisis and risk management,POL,0.26724673986038755,0.26724673986038755,,0.18897198200527723,0.1889719820052773,0.27,"POL - Crisis and
risk management:
0.27"
0_indicators,ind_crm,Crisis and risk management,PRT,0.22249844850553824,0.22249844850553824,,0.15733016174175193,0.15733016174175196,0.22,"PRT - Crisis and
risk management:
0.22"
0_indicators,ind_crm,Crisis and risk management,ROU,0.48767350454124125,0.48767350454124125,,0.34483724206612026,0.3448372420661204,0.49,"ROU - Crisis and
risk management:
0.49"
0_indicators,ind_crm,Crisis and risk management,SVK,0.5216490582095119,0.5216490582095119,,0.3688615864595219,0.368861586459522,0.52,"SVK - Crisis and
risk management:
0.52"
0_indicators,ind_crm,Crisis and risk management,SVN,0.7924176518169431,0.7924176518169431,,0.5603238951316809,0.5603238951316811,0.79,"SVN - Crisis and
risk management:
0.79"
0_indicators,ind_crm,Crisis and risk management,SWE,0.9807333747250256,0.9807333747250256,,0.6934832198040329,0.6934832198040332,0.98,"SWE - Crisis and
risk management:
0.98"
0_indicators,ind_crm,Crisis and risk management,TUR,0.6737103812044661,0.6737103812044661,,0.4763851791054519,0.4763851791054521,0.67,"TUR - Crisis and
risk management:
0.67"
0_indicators,ind_crm,Crisis and risk management,USA,0.90731303115326,0.90731303115326,,0.6415671969873914,0.6415671969873915,0.91,"USA - Crisis and
risk management:
0.91"
0_indicators,ind_dig,Digital services,AUS,0.7080495857825493,,0.7080495857825493,0.6839233812006414,0.18325671767747467,0.71,"AUS - Digital
services: 0.71
(imputed)"
0_indicators,ind_dig,Digital services,AUT,0.9724817655396816,0.9724817655396816,,0.939345252929969,0.2516968019365937,0.97,"AUT - Digital
services: 0.97"
0_indicators,ind_dig,Digital services,BEL,0.6472897619309077,0.6472897619309077,,0.6252338981415664,0.16753091808759543,0.65,"BEL - Digital
services: 0.65"
0_indicators,ind_dig,Digital services,BGR,0.29738563514972277,0.29738563514972277,,0.28725246535849536,0.07696906611665784,0.30,"BGR - Digital
services: 0.30"
0_indicators,ind_dig,Digital services,CAN,0.6661729630540767,,0.6661729630540767,0.643473669789446,0.1724182501707729,0.67,"CAN - Digital
services: 0.67
(imputed)"
0_indicators,ind_dig,Digital services,CHE,0.33810984038514774,0.33810984038514774,,0.32658902695048886,0.0875092660282496,0.34,"CHE - Digital
services: 0.34"
0_indicators,ind_dig,Digital services,CHL,0.6013401451285562,,0.6013401451285562,0.5808499765640889,0.15563828214398406,0.60,"CHL - Digital
services: 0.60
(imputed)"
0_indicators,ind_dig,Digital services,CZE,0.4922240570868298,0.4922240570868298,,0.4754519290609536,0.1273969604317019,0.49,"CZE - Digital
services: 0.49"
0_indicators,ind_dig,Digital services,DEU,0.7315596024840414,0.7315596024840414,,0.7066323135091,0.18934155775049918,0.73,"DEU - Digital
services: 0.73"
0_indicators,ind_dig,Digital services,DNK,0.9767075210507432,0.9767075210507432,,0.9434270193136867,0.25279050794280344,0.98,"DNK - Digital
services: 0.98"
